2015-06-16
Chicago Blackhawks,Tampa Bay Lightning,111/100,259/100,221/100
2015-06-14
Tampa Bay Lightning,Chicago Blackhawks,36/25,51/20,87/50
2015-06-11
Chicago Blackhawks,Tampa Bay Lightning,101/100,131/50,5/2
2015-06-09
Chicago Blackhawks,Tampa Bay Lightning,1/1,291/100,113/50
2015-06-07
Tampa Bay Lightning,Chicago Blackhawks,5/4,273/100,19/10
2015-06-04
Tampa Bay Lightning,Chicago Blackhawks,131/100,67/25,93/50
2015-05-31
Anaheim Ducks,Chicago Blackhawks,5/4,137/50,187/100
2015-05-30
New York Rangers,Tampa Bay Lightning,26/25,139/50,57/25
2015-05-28
Chicago Blackhawks,Anaheim Ducks,113/100,267/100,21/10
2015-05-27
Tampa Bay Lightning,New York Rangers,129/100,53/20,187/100
2015-05-26
Anaheim Ducks,Chicago Blackhawks,23/20,67/25,53/25
2015-05-25
New York Rangers,Tampa Bay Lightning,23/20,69/25,201/100
2015-05-24
Chicago Blackhawks,Anaheim Ducks,109/100,281/100,43/20
2015-05-23
Tampa Bay Lightning,New York Rangers,31/25,277/100,189/100
2015-05-22
Chicago Blackhawks,Anaheim Ducks,11/10,279/100,211/100
2015-05-21
Tampa Bay Lightning,New York Rangers,61/50,269/100,49/25
2015-05-20
Anaheim Ducks,Chicago Blackhawks,69/50,53/20,87/50
2015-05-19
New York Rangers,Tampa Bay Lightning,131/100,251/100,189/100
2015-05-17
Anaheim Ducks,Chicago Blackhawks,27/20,63/25,181/100
2015-05-16
New York Rangers,Tampa Bay Lightning,117/100,51/20,43/20
2015-05-14
New York Rangers,Washington Capitals,103/100,67/25,233/100
2015-05-13
Tampa Bay Lightning,Montreal Canadiens,27/25,129/50,23/10
2015-05-11
Anaheim Ducks,Calgary Flames,63/100,339/100,349/100
Washington Capitals,New York Rangers,73/50,257/100,167/100
2015-05-10
Montreal Canadiens,Tampa Bay Lightning,13/10,257/100,37/20
2015-05-09
Calgary Flames,Anaheim Ducks,2/1,271/100,29/25
New York Rangers,Washington Capitals,99/100,27/10,123/50
2015-05-08
Minnesota Wild,Chicago Blackhawks,67/50,64/25,181/100
Tampa Bay Lightning,Montreal Canadiens,27/25,11/4,43/20
2015-05-07
Washington Capitals,New York Rangers,79/50,251/100,39/25
Tampa Bay Lightning,Montreal Canadiens,111/100,267/100,217/100
